FBgn,label,split
FBgn0010410,Ribosome 60S,train
FBgn0029093,unknown,unlabelled
FBgn0004657,unknown,unlabelled
FBgn0038834,unknown,unlabelled
FBgn0030465,unknown,unlabelled
FBgn0005634,unknown,unlabelled
FBgn0004574,unknown,unlabelled
FBgn0000054,unknown,unlabelled
FBgn0030289,unknown,unlabelled
FBgn0000346,unknown,unlabelled
FBgn0040309,unknown,unlabelled
FBgn0002968,unknown,unlabelled
FBgn0033446,unknown,unlabelled
FBgn0011747,unknown,unlabelled
FBgn0030122,unknown,unlabelled
FBgn0003498,unknown,unlabelled
FBgn0030235,unknown,unlabelled
FBgn0028686,unknown,unlabelled
FBgn0003360,unknown,unlabelled
FBgn0038809,unknown,unlabelled
FBgn0036512,unknown,unlabelled
FBgn0030321,unknown,unlabelled
FBgn0028671,unknown,unlabelled
FBgn0014869,unknown,unlabelled
FBgn0025740,unknown,unlabelled
FBgn0001624,unknown,unlabelled
FBgn0030205,unknown,unlabelled
FBgn0025803,unknown,unlabelled
FBgn0032713,unknown,unlabelled
FBgn0027779,unknown,unlabelled
FBgn0005671,unknown,unlabelled
FBgn0025814,unknown,unlabelled
FBgn0039925,unknown,unlabelled
FBgn0030306,unknown,unlabelled
FBgn0024733,Ribosome 60S,test
FBgn0031544,unknown,unlabelled
FBgn0000579,unknown,unlabelled
FBgn0035423,unknown,unlabelled
FBgn0004435,unknown,unlabelled
FBgn0039188,unknown,unlabelled
FBgn0026415,unknown,unlabelled
FBgn0023143,unknown,unlabelled
FBgn0038914,unknown,unlabelled
FBgn0004907,unknown,unlabelled
FBgn0010215,unknown,unlabelled
FBgn0061209,unknown,unlabelled
FBgn0004362,unknown,unlabelled
FBgn0034657,unknown,unlabelled
FBgn0003204,unknown,unlabelled
FBgn0038552,unknown,unlabelled
FBgn0003392,Cytoskeleton,train
FBgn0039678,unknown,unlabelled
FBgn0038535,unknown,unlabelled
FBgn0010342,unknown,unlabelled
FBgn0034072,unknown,unlabelled
FBgn0031126,unknown,unlabelled
FBgn0030329,unknown,unlabelled
FBgn0011259,unknown,unlabelled
FBgn0061355,unknown,unlabelled
FBgn0033476,unknown,unlabelled
FBgn0028527,unknown,unlabelled
FBgn0003189,unknown,unlabelled
FBgn0040259,unknown,unlabelled
FBgn0025743,unknown,unlabelled
FBgn0028670,unknown,unlabelled
FBgn0019947,unknown,unlabelled
FBgn0042134,unknown,unlabelled
FBgn0039757,unknown,unlabelled
FBgn0033424,unknown,unlabelled
FBgn0030343,unknown,unlabelled
FBgn0022349,unknown,unlabelled
FBgn0039875,unknown,unlabelled
FBgn0030276,unknown,unlabelled
FBgn0037469,unknown,unlabelled
FBgn0004636,unknown,unlabelled
FBgn0027620,unknown,unlabelled
FBgn0030341,unknown,unlabelled
FBgn0039909,unknown,unlabelled
FBgn0003470,unknown,unlabelled
FBgn0037383,unknown,unlabelled
FBgn0010198,Ribosome 40S,test
FBgn0002780,unknown,unlabelled
FBgn0014469,unknown,unlabelled
FBgn0015034,unknown,unlabelled
FBgn0033205,unknown,unlabelled
FBgn0033204,unknown,unlabelled
FBgn0037328,Ribosome 60S,train
FBgn0020653,unknown,unlabelled
FBgn0025704,unknown,unlabelled
FBgn0017545,Ribosome 40S,train
FBgn0003738,unknown,unlabelled
FBgn0001122,unknown,unlabelled
FBgn0022893,unknown,unlabelled
FBgn0000150,unknown,unlabelled
FBgn0003656,unknown,unlabelled
FBgn0015222,unknown,unlabelled
FBgn0028331,unknown,unlabelled
FBgn0000559,unknown,unlabelled
FBgn0010333,unknown,unlabelled
FBgn0039665,unknown,unlabelled
FBgn0024923,unknown,unlabelled
FBgn0026567,unknown,unlabelled
FBgn0030327,Golgi,test
FBgn0032864,Lysosome,train
FBgn0010391,ER,test
FBgn0037298,unknown,unlabelled
FBgn0003371,unknown,unlabelled
FBgn0000986,unknown,unlabelled
FBgn0002121,unknown,unlabelled
FBgn0001142,unknown,unlabelled
FBgn0024352,unknown,unlabelled
FBgn0037533,unknown,unlabelled
FBgn0015286,unknown,unlabelled
FBgn0034753,unknown,unlabelled
FBgn0033241,unknown,unlabelled
FBgn0023529,unknown,unlabelled
FBgn0037346,unknown,unlabelled
FBgn0037339,unknown,unlabelled
FBgn0028665,unknown,unlabelled
FBgn0037530,unknown,unlabelled
FBgn0000316,unknown,unlabelled
FBgn0028342,unknown,unlabelled
FBgn0034936,unknown,unlabelled
FBgn0005391,unknown,unlabelled
FBgn0004045,unknown,unlabelled
FBgn0015521,unknown,unlabelled
FBgn0030136,Ribosome 40S,train
FBgn0050085,unknown,unlabelled
FBgn0029823,unknown,unlabelled
FBgn0050193,unknown,unlabelled
FBgn0025615,unknown,unlabelled
FBgn0050291,unknown,unlabelled
FBgn0029818,unknown,unlabelled
FBgn0050359,Lysosome,train
FBgn0031645,unknown,unlabelled
FBgn0050387,unknown,unlabelled
FBgn0004646,unknown,unlabelled
FBgn0029913,unknown,unlabelled
FBgn0004132,ER,train
FBgn0038194,unknown,unlabelled
FBgn0024947,unknown,unlabelled
FBgn0038195,unknown,unlabelled
FBgn0029804,unknown,unlabelled
FBgn0051004,unknown,unlabelled
FBgn0039776,unknown,unlabelled
FBgn0051120,unknown,unlabelled
FBgn0046685,unknown,unlabelled
FBgn0011725,unknown,unlabelled
FBgn0051152,unknown,unlabelled
FBgn0051195,unknown,unlabelled
FBgn0020238,unknown,unlabelled
FBgn0003075,unknown,unlabelled
FBgn0015794,unknown,unlabelled
FBgn0031464,unknown,unlabelled
FBgn0003177,unknown,unlabelled
FBgn0051363,unknown,unlabelled
FBgn0022708,unknown,unlabelled
FBgn0051450,mitochondrion,train
FBgn0026761,unknown,unlabelled
FBgn0011219,unknown,unlabelled
FBgn0051617,Nucleus,train
FBgn0025683,unknown,unlabelled
FBgn0031681,Golgi,train
FBgn0034962,unknown,unlabelled
FBgn0051717,unknown,unlabelled
FBgn0051729,unknown,unlabelled
FBgn0028539,unknown,unlabelled
FBgn0051738,unknown,unlabelled
FBgn0004584,Nucleus,test
FBgn0034967,unknown,unlabelled
FBgn0040070,unknown,unlabelled
FBgn0051915,unknown,unlabelled
FBgn0031360,unknown,unlabelled
FBgn0051938,Nucleus,train
FBgn0034968,Ribosome 60S,test
FBgn0004687,unknown,unlabelled
FBgn0029897,Ribosome 60S,train
FBgn0000116,unknown,unlabelled
FBgn0052066,unknown,unlabelled
FBgn0052069,unknown,unlabelled
FBgn0034971,unknown,unlabelled
FBgn0041604,unknown,unlabelled
FBgn0052190,unknown,unlabelled
FBgn0052230,unknown,unlabelled
FBgn0052451,unknown,unlabelled
FBgn0052473,unknown,unlabelled
FBgn0052536,unknown,unlabelled
FBgn0031530,Golgi,test
FBgn0024753,PM,train
FBgn0052632,unknown,unlabelled
FBgn0027066,Cytoskeleton,train
FBgn0052675,unknown,unlabelled
FBgn0067052,unknown,unlabelled
FBgn0010338,unknown,unlabelled
FBgn0014009,unknown,unlabelled
FBgn0052699,unknown,unlabelled
FBgn0028327,unknown,unlabelled
FBgn0040384,unknown,unlabelled
FBgn0003447,unknown,unlabelled
FBgn0053087,unknown,unlabelled
FBgn0053096,unknown,unlabelled
FBgn0013998,unknown,unlabelled
FBgn0003137,unknown,unlabelled
FBgn0069242,unknown,unlabelled
FBgn0053113,unknown,unlabelled
FBgn0053129,unknown,unlabelled
FBgn0014026,Ribosome 60S,train
FBgn0011509,ER,test
FBgn0016700,unknown,unlabelled
FBgn0053214,unknown,unlabelled
FBgn0002528,unknown,unlabelled
FBgn0023174,Proteasome,train
FBgn0053303,unknown,unlabelled
FBgn0001075,unknown,unlabelled
FBgn0053523,unknown,unlabelled
FBgn0024211,unknown,unlabelled
FBgn0015737,unknown,unlabelled
FBgn0034999,unknown,unlabelled
FBgn0010408,unknown,unlabelled
FBgn0036008,unknown,unlabelled
FBgn0030731,Peroxisome,rare_class_excluded
FBgn0011327,Proteasome,train
FBgn0028685,unknown,unlabelled
FBgn0000055,unknown,unlabelled
FBgn0034792,unknown,unlabelled
FBgn0034791,unknown,unlabelled
FBgn0015816,unknown,unlabelled
FBgn0030733,unknown,unlabelled
FBgn0029709,unknown,unlabelled
FBgn0040918,unknown,unlabelled
FBgn0011211,mitochondrion,train
FBgn0034724,unknown,unlabelled
FBgn0031245,unknown,unlabelled
FBgn0026875,unknown,unlabelled
FBgn0010078,unknown,unlabelled
FBgn0014010,unknown,unlabelled
FBgn0000635,PM,test
FBgn0031590,unknown,unlabelled
FBgn0003391,unknown,unlabelled
FBgn0004551,unknown,unlabelled
FBgn0038271,unknown,unlabelled
FBgn0034751,Ribosome 40S,train
FBgn0012036,unknown,unlabelled
FBgn0022343,unknown,unlabelled
FBgn0020367,unknown,unlabelled
FBgn0031662,unknown,unlabelled
FBgn0034802,unknown,unlabelled
FBgn0029866,unknown,unlabelled
FBgn0010488,unknown,unlabelled
FBgn0026708,unknown,unlabelled
FBgn0031670,unknown,unlabelled
FBgn0036824,unknown,unlabelled
FBgn0005533,Ribosome 40S,train
FBgn0017567,mitochondrion,train
FBgn0015393,Nucleus,train
FBgn0036650,unknown,unlabelled
FBgn0036816,unknown,unlabelled
FBgn0020370,unknown,unlabelled
FBgn0003071,unknown,unlabelled
FBgn0040078,unknown,unlabelled
FBgn0033800,unknown,unlabelled
FBgn0034743,Ribosome 40S,train
FBgn0002593,unknown,unlabelled
FBgn0028336,unknown,unlabelled
FBgn0038017,unknown,unlabelled
FBgn0004648,unknown,unlabelled
FBgn0026061,unknown,unlabelled
FBgn0003285,unknown,unlabelled
FBgn0026208,unknown,unlabelled
FBgn0001218,unknown,unlabelled
FBgn0002524,unknown,unlabelled
FBgn0031256,unknown,unlabelled
FBgn0036642,unknown,unlabelled
FBgn0001225,Cytoskeleton,train
FBgn0015791,unknown,unlabelled
FBgn0011708,unknown,unlabelled
FBgn0038805,unknown,unlabelled
FBgn0038376,unknown,unlabelled
FBgn0001125,unknown,unlabelled
FBgn0015567,unknown,unlabelled
FBgn0001219,unknown,unlabelled
FBgn0016691,unknown,unlabelled
FBgn0010438,unknown,unlabelled
FBgn0036279,unknown,unlabelled
FBgn0037024,unknown,unlabelled
FBgn0000667,unknown,unlabelled
FBgn0028479,unknown,unlabelled
FBgn0039073,unknown,unlabelled
FBgn0016119,mitochondrion,test
FBgn0010256,unknown,unlabelled
FBgn0010412,Ribosome 40S,test
FBgn0001226,Cytoskeleton,test
FBgn0026170,unknown,unlabelled
FBgn0029903,unknown,unlabelled
FBgn0027080,unknown,unlabelled
FBgn0025352,unknown,unlabelled
FBgn0013349,unknown,unlabelled
FBgn0029924,Peroxisome,rare_class_excluded
FBgn0027108,unknown,unlabelled
FBgn0040064,unknown,unlabelled
FBgn0026616,Golgi,train
FBgn0011272,Ribosome 60S,train
FBgn0033814,unknown,unlabelled
FBgn0033816,unknown,unlabelled
FBgn0039349,unknown,unlabelled
FBgn0035032,unknown,unlabelled
FBgn0011260,unknown,unlabelled
FBgn0038742,unknown,unlabelled
FBgn0036623,unknown,unlabelled
FBgn0043456,unknown,unlabelled
FBgn0036622,unknown,unlabelled
FBgn0011584,ER,test
FBgn0035600,unknown,unlabelled
FBgn0035602,unknown,unlabelled
FBgn0030792,unknown,unlabelled
FBgn0011823,unknown,unlabelled
FBgn0037874,unknown,unlabelled
FBgn0037010,unknown,unlabelled
FBgn0030796,unknown,unlabelled
FBgn0020910,Ribosome 60S,test
FBgn0034237,unknown,unlabelled
FBgn0005593,Ribosome 60S,train
FBgn0003721,unknown,unlabelled
FBgn0032198,unknown,unlabelled
FBgn0003274,unknown,unlabelled
FBgn0016701,unknown,unlabelled
FBgn0038320,unknown,unlabelled
FBgn0026084,unknown,unlabelled
FBgn0034258,unknown,unlabelled
FBgn0032217,unknown,unlabelled
FBgn0024734,unknown,unlabelled
FBgn0026409,unknown,unlabelled
FBgn0027948,Cytoskeleton,test
FBgn0011787,mitochondrion,train
FBgn0029687,unknown,unlabelled
FBgn0036579,unknown,unlabelled
FBgn0039358,unknown,unlabelled
FBgn0031313,unknown,unlabelled
FBgn0003031,unknown,unlabelled
FBgn0038038,unknown,unlabelled
FBgn0027835,unknown,unlabelled
FBgn0034350,unknown,unlabelled
FBgn0038039,unknown,unlabelled
FBgn0013763,unknown,unlabelled
FBgn0037891,unknown,unlabelled
FBgn0021764,unknown,unlabelled
FBgn0029148,Nucleus,train
FBgn0031912,unknown,unlabelled
FBgn0010405,Proteasome,train
FBgn0036566,unknown,unlabelled
FBgn0015282,unknown,unlabelled
FBgn0015268,unknown,unlabelled
FBgn0034925,unknown,unlabelled
FBgn0032237,unknown,unlabelled
FBgn0003676,Cytoskeleton,train
FBgn0038950,unknown,unlabelled
FBgn0005674,unknown,unlabelled
FBgn0010235,Cytoskeleton,train
FBgn0026178,unknown,unlabelled
FBgn0011016,ER,train
FBgn0002543,PM,train
FBgn0034368,unknown,unlabelled
FBgn0001197,Nucleus,train
FBgn0003279,Ribosome 60S,test
FBgn0039160,unknown,unlabelled
FBgn0039562,unknown,unlabelled
FBgn0032444,unknown,unlabelled
FBgn0034902,unknown,unlabelled
FBgn0034914,unknown,unlabelled
FBgn0024234,unknown,unlabelled
FBgn0003022,unknown,unlabelled
FBgn0039537,unknown,unlabelled
FBgn0025698,unknown,unlabelled
FBgn0036974,unknown,unlabelled
FBgn0034708,unknown,unlabelled
FBgn0036258,unknown,unlabelled
FBgn0035946,unknown,unlabelled
FBgn0022959,unknown,unlabelled
FBgn0002921,PM,train
FBgn0030853,unknown,unlabelled
FBgn0024320,Lysosome,train
FBgn0035937,unknown,unlabelled
FBgn0028468,unknown,unlabelled
FBgn0015790,unknown,unlabelled
FBgn0039207,unknown,unlabelled
FBgn0038863,unknown,unlabelled
FBgn0000636,PM,test
FBgn0025678,unknown,unlabelled
FBgn0013272,unknown,unlabelled
FBgn0038519,mitochondrion,test
FBgn0011771,unknown,unlabelled
FBgn0039125,unknown,unlabelled
FBgn0038868,unknown,unlabelled
FBgn0039132,unknown,unlabelled
FBgn0003471,unknown,unlabelled
FBgn0028375,unknown,unlabelled
FBgn0015795,unknown,unlabelled
FBgn0004867,Ribosome 40S,train
FBgn0036211,unknown,unlabelled
FBgn0031781,unknown,unlabelled
FBgn0036752,unknown,unlabelled
FBgn0036555,unknown,unlabelled
FBgn0016120,mitochondrion,test
FBgn0036198,unknown,unlabelled
FBgn0038349,unknown,unlabelled
FBgn0024556,unknown,unlabelled
FBgn0000064,unknown,unlabelled
FBgn0036182,unknown,unlabelled
FBgn0027865,unknown,unlabelled
FBgn0015756,unknown,unlabelled
FBgn0004401,Nucleus,test
FBgn0014877,unknown,unlabelled
FBgn0036155,unknown,unlabelled
FBgn0039156,unknown,unlabelled
FBgn0032340,unknown,unlabelled
FBgn0022355,unknown,unlabelled
FBgn0036147,unknown,unlabelled
FBgn0019925,ER,train
FBgn0028734,unknown,unlabelled
FBgn0027611,Lysosome,test
FBgn0036141,unknown,unlabelled
FBgn0032456,unknown,unlabelled
FBgn0013269,unknown,unlabelled
FBgn0027582,unknown,unlabelled
FBgn0017579,Ribosome 60S,train
FBgn0032350,unknown,unlabelled
FBgn0036735,unknown,unlabelled
FBgn0028737,unknown,unlabelled
FBgn0019957,mitochondrion,train
FBgn0034277,ER,test
FBgn0030930,Golgi,train
FBgn0032646,unknown,unlabelled
FBgn0029688,unknown,unlabelled
FBgn0032643,unknown,unlabelled
FBgn0019960,unknown,unlabelled
FBgn0034259,unknown,unlabelled
FBgn0036710,unknown,unlabelled
FBgn0010409,Ribosome 60S,train
FBgn0036702,unknown,unlabelled
FBgn0033879,unknown,unlabelled
FBgn0034214,unknown,unlabelled
FBgn0000634,PM,train
FBgn0015797,unknown,unlabelled
FBgn0026418,unknown,unlabelled
FBgn0004363,unknown,unlabelled
FBgn0039213,unknown,unlabelled
FBgn0032292,unknown,unlabelled
FBgn0032398,unknown,unlabelled
FBgn0027088,unknown,unlabelled
FBgn0002622,Ribosome 40S,test
FBgn0037912,unknown,unlabelled
FBgn0040237,unknown,unlabelled
FBgn0026207,Nucleus,train
FBgn0035909,unknown,unlabelled
FBgn0013997,unknown,unlabelled
FBgn0020254,unknown,unlabelled
FBgn0036825,Ribosome 60S,train
FBgn0014075,ER,train
FBgn0036484,Peroxisome,rare_class_excluded
FBgn0000261,Peroxisome,rare_class_excluded
FBgn0002525,unknown,unlabelled
FBgn0039004,unknown,unlabelled
FBgn0011253,unknown,unlabelled
FBgn0037960,unknown,unlabelled
FBgn0040284,unknown,unlabelled
FBgn0014002,ER,train
FBgn0035121,unknown,unlabelled
FBgn0028325,unknown,unlabelled
FBgn0039234,unknown,unlabelled
FBgn0027095,unknown,unlabelled
FBgn0038277,unknown,unlabelled
FBgn0030086,unknown,unlabelled
FBgn0003178,unknown,unlabelled
FBgn0038947,unknown,unlabelled
FBgn0001090,unknown,unlabelled
FBgn0015609,unknown,unlabelled
FBgn0020618,unknown,unlabelled
FBgn0021765,unknown,unlabelled
FBgn0002527,unknown,unlabelled
FBgn0001248,unknown,unlabelled
FBgn0004003,ER,train
FBgn0000565,unknown,unlabelled
FBgn0036213,Ribosome 60S,train
FBgn0031379,unknown,unlabelled
FBgn0040493,unknown,unlabelled
FBgn0025617,unknown,unlabelled
FBgn0038722,unknown,unlabelled
FBgn0028541,unknown,unlabelled
FBgn0021953,unknown,unlabelled
FBgn0037580,unknown,unlabelled
FBgn0036762,unknown,unlabelled
FBgn0036927,unknown,unlabelled
FBgn0015288,Ribosome 60S,train
FBgn0020392,unknown,unlabelled
FBgn0014362,Nucleus,train
FBgn0011673,unknown,unlabelled
FBgn0034432,unknown,unlabelled
FBgn0017645,unknown,unlabelled
FBgn0037573,unknown,unlabelled
FBgn0036745,unknown,unlabelled
FBgn0000100,unknown,unlabelled
FBgn0010349,unknown,unlabelled
FBgn0038533,unknown,unlabelled
FBgn0003501,unknown,unlabelled
FBgn0035793,unknown,unlabelled
FBgn0030990,unknown,unlabelled
FBgn0012051,unknown,unlabelled
FBgn0036728,unknown,unlabelled
FBgn0020496,unknown,unlabelled
FBgn0020240,unknown,unlabelled
FBgn0015283,unknown,unlabelled
FBgn0002579,Ribosome 60S,test
FBgn0032026,unknown,unlabelled
FBgn0036928,mitochondrion,train
FBgn0038538,unknown,unlabelled
FBgn0038610,unknown,unlabelled
FBgn0044871,unknown,unlabelled
FBgn0013325,unknown,unlabelled
FBgn0036509,unknown,unlabelled
FBgn0026189,unknown,unlabelled
FBgn0028695,Proteasome,train
FBgn0001308,unknown,unlabelled
FBgn0039704,unknown,unlabelled
FBgn0039713,Ribosome 40S,train
FBgn0032015,unknown,unlabelled
FBgn0039697,unknown,unlabelled
FBgn0032012,unknown,unlabelled
FBgn0030658,unknown,unlabelled
FBgn0004603,unknown,unlabelled
FBgn0033039,unknown,unlabelled
FBgn0042693,unknown,unlabelled
FBgn0016685,unknown,unlabelled
FBgn0039737,unknown,unlabelled
FBgn0002626,Ribosome 60S,train
FBgn0025725,unknown,unlabelled
FBgn0010350,ER,train
FBgn0026372,Ribosome 60S,test
FBgn0034117,unknown,unlabelled
FBgn0038587,unknown,unlabelled
FBgn0015477,unknown,unlabelled
FBgn0037607,unknown,unlabelled
FBgn0027554,unknown,unlabelled
FBgn0020611,unknown,unlabelled
FBgn0033382,unknown,unlabelled
FBgn0028469,unknown,unlabelled
FBgn0003328,PM,train
FBgn0037689,unknown,unlabelled
FBgn0019644,mitochondrion,train
FBgn0024754,PM,train
FBgn0026193,unknown,unlabelled
FBgn0037711,unknown,unlabelled
FBgn0027329,unknown,unlabelled
FBgn0033342,unknown,unlabelled
FBgn0004921,unknown,unlabelled
FBgn0000556,unknown,unlabelled
FBgn0037718,unknown,unlabelled
FBgn0030854,Nucleus,test
FBgn0034142,unknown,unlabelled
FBgn0004236,unknown,unlabelled
FBgn0033902,unknown,unlabelled
FBgn0020236,unknown,unlabelled
FBgn0033906,unknown,unlabelled
FBgn0010339,unknown,unlabelled
FBgn0037632,unknown,unlabelled
FBgn0003425,unknown,unlabelled
FBgn0034060,unknown,unlabelled
FBgn0010348,unknown,unlabelled
FBgn0034066,unknown,unlabelled
FBgn0014020,unknown,unlabelled
FBgn0023167,Nucleus,test
FBgn0010621,unknown,unlabelled
